,844e962c-c1bc-4c0b-9886-5561cc99c173,ded3529c-f001-49b8-a8c4-30fa16b4d6fc,cf620754-2948-40be-ac35-f5ae6627ffdb,504b9e37-2e3d-4913-943a-614e3457e653,7cb5a37b-0781-408e-b209-b92bb739546e,a92d4ad2-15aa-4937-bf07-010e112a9310,1e50cca0-2b47-436c-b20c-88b2b4c609f5,cee6fbdf-3111-4470-bd4d-53ccddd8c659,913342a2-bc20-457b-9429-54b285e831fc,0368424e-312e-4951-87b3-ad8188213c56,ec2abb7c-6791-4fcd-837b-1a3af58cab36,8e63ad31-da2d-4f94-a92e-60c59dc61c33,739a57a2-203f-40f3-ab2e-9c63e54dabaa,70520b54-9465-43df-81f7-b1407a4c4f0c,19c0be7a-5b65-4b30-8ea5-13bf16cf93d9,43ec519b-c406-4050-a70e-dcff2c23e0bc,9c98c38b-6bb4-4667-8d42-2b43a7c852c4,47c7ec2a-3fdb-4801-99eb-b00cbc4ee51b,d4e1aa6a-d34c-4e2d-8438-8cae6f630a93,f65477ba-8e37-4e6d-81ef-85b290e4b809,fa5ba0b2-97aa-4763-9f16-d06b2a1df5fc,f1cc0711-2898-48e4-846a-a0999723e427,017e007e-7018-4941-b7f6-ef2ffb545ff3,e2241342-d03d-41b9-9ac4-8466cfbf44c5,52bf09c9-dcf4-4d99-8299-58259c6ea063,1d2662eb-1bc1-4f9d-991d-688ea60cea4d,722129f4-7547-4772-86b9-4b41401b608d,3d0f9f2d-8c4c-42c3-bfec-125e980d7bb3,ebbed4b4-d9c4-47c6-81bc-20dac962cd84,1caad454-03a5-4f12-923f-dcd38b118c04,c673ea34-dbc7-4bb2-acd7-72d1df31b6f0,e8d3df34-e7f2-44ec-bfd6-2abc050d86a6,a6e92c5d-c30d-4c68-9ac4-a26e0654db26,061bc983-78b6-487f-aed6-1b5b013647b4,60a2a74f-7875-409b-97de-9ff5f111b7f8,e099357b-9b34-4720-98ab-97831718fe68,9bc10bfa-88c2-416e-a589-0618a7529f2e,139522eb-d7d2-4594-b307-a3ccbc9ffcff,ce2d4198-b7c0-4dd9-b13c-6f1f5133d275,32ddb72e-252a-4937-96f5-0a0c56b5e85f
f5525de3-e909-4f3d-8d42-21ab059f64d7,25, 18, 15, 23, 15, 3, 2, 5, 3, 1, 8, 7, 8, 11, 6, 2, 6, 17, 17, 13,25, 18, 15, 23, 15, 3, 2, 5, 3, 1, 8, 7, 8, 11, 6, 2, 6, 17, 17, 13
03ffb038-a44e-4bff-bb54-8011ecc8f184,3,0,4,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0fe53981-6684-42f2-ba57-386e5e46a45f,5,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
21158d1f-ecf8-4d08-86bd-4edc84c43585,3,5,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,5,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
b0f26132-61cf-4d04-b66e-bc52d4a7423a,5,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ad36fcfc-af4e-44c2-b4b6-d82a9af5a319,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
e176c322-161e-42a8-ac62-8f88731b3020,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,3
55c6ce84-88ea-4242-85e2-1b2699a47016,5,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
3c921166-0221-4a2e-83b6-19d0294958e0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
a45cae08-4543-41f7-af6d-8b54d27f909e,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4
9c13779f-9f15-442a-a1dc-0a576f345eeb,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0
7c1abbae-831b-49a5-b767-26dcc23a070c,0,5,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,3,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,3,0,0
bd3de384-f56c-4361-9d5f-075e72676465,1,0,2,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,5,0,1,0,2,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,5,0
db26bd87-7a59-4d5d-a7d3-534adc106b9b,0,0,0,5,0,0,0,0,1,0,2,0,4,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,1,0,2,0,4,0,0,0,0,3,0,0
7ef59851-faa7-4056-9e8f-a37866cb09c6,0,5,2,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,2,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0f3e547a-9e0f-4477-be26-48462b8296cc,0,0,1,0,3,0,0,0,0,0,5,2,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,5,2,0,0,0,0,0,0,0,4
a6ab9509-5831-46f1-aade-5be6b88c030d,5,0,1,0,0,0,0,2,3,0,0,0,0,4,0,0,0,0,0,0,5,0,1,0,0,0,0,2,3,0,0,0,0,4,0,0,0,0,0,0
179387cf-8f3f-4a1a-8724-bf18a561f93d,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
04439d3c-abc8-4cf2-9b43-8a39a24a6775,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0
f7fc7ead-263f-46ca-9c5a-489a525a9b36,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,5,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,5,0,0
9358ab27-8b86-459d-b5de-ae1ce50fd4db,5,0,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,5,0,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2
2e5f04b2-3cdb-4523-8db6-5ac5bab88f70,3,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
82571cf2-c104-4bf4-89ab-c037ce3a167b,3,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,5,3,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,5
3f4d213e-d553-47e6-b754-90dc4b717a6c,4,2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,4,2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
c2ba844e-5bd2-49dc-bafe-0df362b0cb8c,4,2,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,4,2,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
8f3449eb-8946-4a1a-b694-2933272b0594,4,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,5,0,0
0a63e695-2874-4b1a-b09c-c3e711bd8719,0,2,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,5,0,0,2,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,5,0
51e6b742-c6bf-43b5-884e-47ff11797ab7,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
4ff57db0-a305-4a3d-8e66-2a91cab5c969,0,0,5,0,1,0,0,0,0,0,0,0,0,0,4,0,3,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,4,0,3,0,2,0
ee75f4ae-03dd-4a3a-bd50-4901840379af,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,3
9b1f862a-49b7-4733-8be1-dba4b91f287c,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,5,0
76290f1c-04e1-417e-8f74-a359bd1e9f98,0,4,5,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,4,5,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0
653bc551-bfec-4ec0-b161-6eb726969b57,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,2,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,2
8d95e698-8bf4-43b4-9bbe-673d53d78b73,0,0,3,0,5,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,3,0,5,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0
92e68a40-d041-4b98-a62e-6def4dbdae61,5,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,5,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
356fb097-ad2c-4c4f-aced-e321a9e6fbcd,0,0,0,4,0,0,1,0,0,0,0,3,0,0,2,0,0,0,5,0,0,0,0,4,0,0,1,0,0,0,0,3,0,0,2,0,0,0,5,0
408f04b2-aeb1-483f-81b8-8b624718c557,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0
4b11a31c-78a6-49f7-9b53-e717053f0288,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,3
464e108b-b19e-4da0-8305-21c74ea2963a,4,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
3c1f8479-b505-450f-8fc2-da24f168b570,4,0,2,0,0,0,0,0,0,0,0,0,3,5,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,3,5,0,0,0,1,0,0
2176d3f4-0fe5-4b8a-983a-3ca2270d3685,0,5,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,5,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
cd0c2bde-b061-4dde-bb9a-d2f82f5cf6b2,5,0,4,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,0,4,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
c118f90c-cbc6-4967-a269-de6eab26f01a,0,0,0,5,2,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,0,0,0,5,2,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1
4453e008-0977-4fcd-804b-3c7047317516,4,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0
91ea926f-9dc2-4fb4-b67a-88414a809ce8,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,3,0,4,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,3,0,4,0
fb99ff39-154a-4f3c-8e36-ee3157f05388,5,3,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
85a2cb67-7e39-4cfc-aa19-39f2d3ea5863,3,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
0034b581-c08d-4cce-a4cf-e6ace1223390,5,3,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1
18c47483-7a3c-47d3-b558-5db13cce336a,0,0,0,5,0,0,0,0,0,1,0,0,3,0,0,2,4,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,3,0,0,2,4,0,0,0
7bc232ec-1d92-42ce-9a99-16f6f86d87e7,0,0,0,0,1,4,0,0,2,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,3,0,5,0,0,0
048d2d8d-e763-47b1-81f7-55c4e8f2b372,0,0,0,0,2,0,0,0,0,0,3,4,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,3,4,0,0,0,0,0,0,1,5
85531a6e-7ad6-4104-9ee0-2c75aec7f800,0,0,0,5,0,4,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,5,0,4,0,0,0,0,0,3,0,1,0,0,0,0,2,0
0f604ea9-cded-4eed-b86e-05397ea16800,2,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
4deb1a7a-d4f6-4db5-bf12-51042fcccadf,5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3
8834022b-3e6f-4100-8a87-d7fc07461e3c,3,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,5,0,0
d577661d-e946-4b1c-b0e5-9995109a8ea8,0,2,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,2,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0
542117c5-ee01-453d-8e28-c7e293ade8ef,2,0,0,1,0,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0
996fa270-1e97-4b12-a73f-e372bc7fd956,0,2,0,5,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0
64085679-2f0b-411b-b948-186fbcd6990c,0,4,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
3cbc0f13-5346-4664-b011-74584cf0f931,0,0,0,5,1,0,3,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,5,1,0,3,0,0,2,0,0,0,0,0,4,0,0,0,0
84578d6b-2e04-4c30-b9b7-4a84e9cf0e85,4,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,5,0,4,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,5,0
186150f0-f17f-4ef7-b3ea-572370df34b9,0,4,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5,0,0,4,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5,0
72338e6e-8316-4c91-9937-61f4b9c1d6b6,5,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0
193bf743-c130-4035-9281-4615a69cdac5,0,0,0,4,0,0,0,2,0,0,0,0,3,1,0,0,0,0,5,0,0,0,0,4,0,0,0,2,0,0,0,0,3,1,0,0,0,0,5,0
beb7b736-12ea-414c-b033-a81fcd788fb3,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2
b36cce8c-10bd-4dd5-8aaa-9dad0ba15cec,0,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0
c39575cb-271e-4798-a2bb-1b14e0be8295,2,0,0,3,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,3,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
dd53d7be-2fbe-4a93-af5f-996cfa3da4ad,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,5,2,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,5,2
1cbb4f4a-9540-432f-8dfb-d022baf883e3,0,2,0,5,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0
e57c6d5c-0bb9-4861-86dd-0f93ed0429b1,1,3,0,0,2,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0
55c382a4-666a-4402-b9b5-3a933fa7caa4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,2,5
29dca9ca-632a-44b9-9e2f-d38d7bbbf90f,1,2,4,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,4,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
9bec014d-4e5c-418f-9a26-3bcaee4e6cfe,0,0,0,5,3,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0
f164100d-9088-4e52-9e47-d77abaa80bfa,3,2,5,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
45a8b869-0f04-4885-b082-9df296e52a4c,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,4
e6c5074c-0f16-4757-a755-60f80b55699f,0,1,0,5,4,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0
84349244-2b46-455b-99f1-addc014b26fc,5,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
eb59cad5-33e5-4cb0-b722-1fce699f8ad5,5,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,5,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0
c95bdfef-e512-482d-9ebe-567bca36ed29,5,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,3
ed11f3c8-ed8a-4e82-95e3-005e2aacb558,0,0,0,5,0,0,0,0,0,0,2,0,0,0,3,0,1,0,4,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,3,0,1,0,4,0
6deb1870-00cb-440e-8624-46201681da2a,0,3,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4593bd32-e1cc-4d24-8cf0-2e77557ec3f7,5,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0
1bc8c6f6-e0f9-43e7-b6fc-8d7e6de17b13,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
b08e5561-0cfa-4505-81a3-011f1d1b79f8,5,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0,5,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0
28074bf4-c314-499a-bcb5-8acd32b83699,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
6673b0bb-6924-4b49-be4b-ab375a044298,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,4,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,4,0,0
2e2d3a86-5c6c-4c70-9348-7a17ebbbce94,2,1,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
