,fe1ea8ce-193d-42da-8ff8-62d0522abe8c,2c179244-8bf2-4772-8940-97d8cb347fda,202ac868-0e26-4d2e-8712-649eeb8c73d8,67c448b6-1d2c-477c-8a86-20e356d3c3fe,29ccea15-fe1f-4416-aa19-24af34f5513c,5504ff3c-686b-46c5-be4d-abdc7720857a,10c4d62f-60c4-487e-bf0a-9d01a0f3e97e,b19edbeb-0d44-4c12-9a79-007efa81dcbf,cca8a6f1-b61f-4b17-b153-6eee8f2a1403,5c0758f1-971d-4aee-8862-a70c9a5330cf,52647f9e-b0b0-4f6b-b2ab-ff93212a5efc,e91a7e6a-ac4e-4c8d-b83c-ce778f7e240e,0bf6834d-ea67-4304-8a20-23a3b230bf76,c0be8024-ec7d-4660-9e45-4338623a898c,82548928-c387-4af6-8a38-733e9a0d7224,30ed6902-4937-42c6-bc3f-49b433ad7dbd,27101ebb-ba5d-45d9-9077-cdaca18a7485,89fbe591-4dd4-4975-892e-180305fdffc5,75f72d0c-126e-40b2-ba6e-17f2240665d2,746b8255-7b99-4a5e-b641-385af537db10,15f53c31-772d-4c98-86da-bb5f9b5cb3cd,3b72890e-1833-47a5-a62c-ffa15d368e4f,f6daad1c-94e8-46f2-b229-c913435e57dc,794fcbf6-cb65-4e9d-889c-acf2110db7a8,740a6d91-7f20-47be-a48e-7aeb657ade4e,ff6d2613-031f-4af3-8540-1807d18fe31b,8c7e1f14-5cce-44a0-af41-6e41d46c83ee,fa28540b-d238-4398-8cea-0c5280515e09,202da7da-224c-4054-96ef-070d53d31087,6a831ba8-b607-467b-88de-a889beecad0c,604746d6-5f50-4743-bf26-ec4f4f10be2f,c47fa8e5-b0ba-425a-8068-c8153dbfc911,68b92187-69c0-4e73-aa69-0557299f1282,6ec35d03-77ec-4606-921e-bdcc09976d98,697fa9df-3a8f-4e77-a0ee-d3c1bfe358f6,d8985c74-76e9-4456-b552-4aec8739a898,e0d4baf4-20e5-4d88-9561-c3f263e72688,a6865dd6-904e-4966-b18b-4e3888069400,2c3bc4b4-0157-4ae9-98cd-945918743e8d,432b981d-6e9d-41c6-ba40-204249266a5b
8349fe78-a398-4174-9419-4c347af15905,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,1000,1000
e6f62233-4077-4c29-881b-8536111ab023,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10
c5f42bc1-df95-4766-9731-c61c080fa349,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000
78b8fe99-13c5-46ee-ac8a-3cd852df4adf,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000
8e54a78a-5247-4494-9fae-2220358a78e9,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5
99f566e9-326f-4c0e-a024-24acf119f754,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000
12a4386a-25e3-4c73-99f4-e723474b225f,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0
ee40c6cc-6e68-4a87-8d8c-ba84a101ff65,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,-10,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,-10,1000,1000
61ab6436-525f-44e8-9333-103a7e30abed,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,-10,1000,-30,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,-10,1000,-30,1000
529f7d40-d5a3-4458-86fa-187626480162,-100,-10,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-100,-10,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000
94ed1a32-6a42-4a18-8c70-24540c2f2cdd,-10,1000,1000,-100,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,1000,-100,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000
87acd757-0770-45bb-aca4-8652bd81fb28,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,0,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,0
7d83988b-7c4c-480e-a53e-3b84aeeff683,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,-10,1000,1000,-5,-30,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,-10,1000,1000,-5,-30,1000,1000,1000
edd45ab1-cfec-49d0-87fd-a071a65f59c7,1000,1000,1000,1000,0,-30,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000
dbe0c858-79ee-48a5-a5dc-84c54c764139,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,1000,0,-100,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,1000,0,-100
87c531e1-d723-472e-8748-0c709944200e,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,-5,1000,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,-5,1000
b99874c6-6226-45f4-8c9c-633aed687561,-5,-100,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,-5,-100,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000
9a5e9c99-bd5b-438c-bfb7-683325547c33,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,-10,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,-10
a28c8a9d-75b6-4c7d-80f7-df1b795f588e,-10,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,1000,1000,-10,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,1000,1000
dae7d64f-32f2-4204-a549-d48c23493f00,1000,-5,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,-5,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000
6e724464-1b98-47aa-b9e3-6252678a59fd,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,-100,1000,1000,-30,1000,1000,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,-100,1000,1000,-30,1000,1000
993acc9e-5f03-4db5-9fc7-d4f45d877552,1000,-5,1000,-100,0,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,1000,1000,1000,1000,1000,-5,1000,-100,0,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,1000,1000,1000,1000
50247bb1-b5ea-4c40-972e-7e1f743d2a6c,1000,-30,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-10,1000,1000,-30,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-10,1000
0d5608f2-8c1d-4bb8-9383-9ed2792d3317,1000,1000,1000,-100,0,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-100,0,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000
a1000888-4250-42ce-89da-4235b7312507,-30,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-5,0,1000,1000,1000,1000,1000,-100,1000,-30,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-5,0,1000,1000,1000,1000,1000,-100,1000
46a6f124-f41e-4c21-af3f-3211db84e49b,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,-100,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,-100,1000
78877cc1-7cc8-4848-b232-77562e4539de,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-5,1000,-30,1000,1000,1000,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-5,1000,-30,1000,1000,1000
ff9c5fa3-8f7d-4515-8617-985d056a0f65,1000,1000,1000,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000
6a15116d-619b-4868-a97b-50d2436003fc,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-100,-5,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-100,-5
3e029e46-41f5-429c-814e-e3aeef7cc7a7,1000,1000,-10,-30,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,-10,-30,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000
f4e4cfb8-3f8e-4e28-85ae-1eeae30063d3,-5,1000,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,1000,1000,1000
b1f0e5b2-cee3-43d8-be22-d92c692dc070,1000,0,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-100,-5,1000,0,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-100,-5
38168a28-33c2-4b07-86e3-0db45dce12cc,1000,-5,1000,-100,1000,1000,1000,1000,1000,1000,1000,-30,-10,1000,1000,1000,0,1000,1000,1000,1000,-5,1000,-100,1000,1000,1000,1000,1000,1000,1000,-30,-10,1000,1000,1000,0,1000,1000,1000
0fe4b2dc-faf0-4120-b20a-91f53933417c,0,-10,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,0,-10,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000
bfdc0ae6-c181-46b2-96f9-7937ff096e79,1000,1000,1000,1000,1000,1000,1000,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,0,-5,-100,1000,1000,1000,1000,1000,1000,1000,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,0,-5,-100
fc2b46f2-c313-4c64-9063-afe99dc89860,0,-5,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,0,-5,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000
a685945d-86ab-44bf-a29f-85b3fc5f56ff,1000,1000,1000,-100,-10,0,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,1000,1000,-100,-10,0,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000
78ea1082-0ee2-4793-a5fa-cce333bdc769,-10,-5,-100,1000,1000,1000,1000,1000,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-5,-100,1000,1000,1000,1000,1000,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000
8a04414a-d447-4678-acc9-fb1c6f03517e,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,-5,0,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,-5,0,1000,1000,1000,1000,1000,-10,-30
c3f77bce-47df-46be-bb6b-13f47cc8ce17,1000,0,1000,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,1000,1000,1000,0,1000,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,1000,1000
d6404bea-6db4-417e-8ea0-07eac5d57f29,-100,1000,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,0,-100,1000,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,0
d0d9f752-1d2c-4d58-b0c4-3fd0857657f3,-100,1000,0,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-30,1000,1000,-100,1000,0,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-30,1000,1000
4de5886a-6046-40f9-8b41-2867dda1d37a,-100,1000,1000,1000,1000,1000,1000,-30,1000,1000,-5,0,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,1000,1000,1000,-30,1000,1000,-5,0,1000,1000,1000,1000,1000,1000,1000,-10
f78daf25-7956-456a-8145-7ea01988988f,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,1000,0,1000,-30,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,1000,0,1000,-30,1000
a35ac039-707a-46b8-9167-deb14e853942,1000,-10,-100,0,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,0,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
c80c5184-35bc-4468-bae5-6cb2ac780872,-100,-10,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000
5e999979-ebfc-43b8-8dec-bccf842561c9,-10,-30,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,-100,1000,-10,-30,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,-100,1000
4bcb3af6-c79b-450a-b165-70fc868cc910,-100,1000,1000,1000,0,1000,1000,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,-30,1000,1000,-100,1000,1000,1000,0,1000,1000,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,-30,1000,1000
c137def5-1d12-4e66-a678-b0cb2a11f0ff,0,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,-5,0,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,-5
1b841b93-9819-4647-ace4-b896e7d6188b,-100,1000,1000,0,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-30,1000,1000,-100,1000,1000,0,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-30,1000,1000
5e4b5b15-48c2-4511-bb49-fe144ed33f87,-5,0,-30,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,-5,0,-30,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000
fbe8879d-c047-4465-9bca-0d05c4a01a75,1000,-100,0,-10,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-30,1000,1000,1000,-100,0,-10,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-30,1000,1000
b07de310-093b-47af-ad37-c420b7fbf824,1000,0,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,1000,1000,0,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,1000
02c95979-7e49-4cee-bb7d-501b9dcc17da,-100,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-5,1000,1000,1000,-30,1000,1000,-100,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-5,1000,1000,1000,-30,1000,1000
e8497905-44dc-4436-9a23-6042dea1f582,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-100,1000,-30,1000,1000,-5,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-100,1000,-30,1000,1000,-5,1000,-10,1000,1000
d54c64cb-0154-489a-8a96-7fbbc583a94b,-100,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-10,-30,1000,-100,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-10,-30,1000
ca84809a-d021-42f1-b1b8-ee2607ebbeaa,-100,-10,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-30,1000,1000,-100,-10,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-30,1000,1000
8f154010-04da-4da4-a25d-63a7cb74b7ce,1000,-5,-100,-30,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,-100,-30,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0
095ef7e6-adae-4363-8741-1be8659bea6e,-30,1000,1000,1000,1000,1000,1000,0,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,-100,1000,-30,1000,1000,1000,1000,1000,1000,0,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,-100,1000
83ee53ec-3fab-4057-a746-790880f03527,0,1000,-100,1000,1000,1000,1000,-10,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,0,1000,-100,1000,1000,1000,1000,-10,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5
920f0452-9e1d-46b4-81d9-ed1e59cd2e65,1000,1000,1000,-100,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,1000,1000,-30
d587eefc-112e-4df2-980b-d7c98e48c9ff,1000,-100,-10,1000,1000,1000,1000,0,1000,1000,1000,-5,1000,-30,1000,1000,1000,1000,1000,1000,1000,-100,-10,1000,1000,1000,1000,0,1000,1000,1000,-5,1000,-30,1000,1000,1000,1000,1000,1000
857dc842-5bf2-4ed8-a876-b1b528ad28c0,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,1000,-10,1000,-5,-30,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,1000,-10,1000,-5,-30,1000,1000
818d147a-90d0-4191-8eb5-d1c05dd440e5,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,-100
592d62af-6629-475b-b2bd-bb1b559b0b13,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,-10,1000,-100,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,-10,1000,-100,1000
c9bf332e-d9b7-41cb-8527-edfdf783af30,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,0,-5,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,0,-5,1000,1000,1000,1000,1000,-30
59001ea3-076d-43b3-873c-31e0146691eb,-100,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,0,-10,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,0,-10,1000
6ec47528-0b88-41e1-b645-b1d6648d66ed,1000,1000,-10,-30,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,-10,-30,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-100
05e1803e-9d54-468d-9923-41c8ee22e551,-100,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,0,1000,1000,-100,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,0,1000,1000
7c244d8d-7152-4057-a2c6-dbde105ea627,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,-10,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,-10,1000,1000
709314ae-5e9a-4639-9610-d6c1f2dd81a4,-100,0,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,-30,-100,0,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,-30
a2a60455-d8cd-4999-b7b8-789bef7c5348,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,-30,-10,1000,1000,1000,1000,-5,1000,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,-30,-10,1000,1000,1000,1000,-5,1000,1000
80fa807f-3994-4873-b760-a95b51f343df,0,1000,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,-5,1000,1000,1000,0,1000,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,-5,1000,1000,1000
ed539578-8f64-4688-a3ba-b30525d30a71,-30,1000,1000,0,1000,1000,1000,1000,1000,1000,-5,-100,1000,1000,1000,1000,1000,1000,-10,1000,-30,1000,1000,0,1000,1000,1000,1000,1000,1000,-5,-100,1000,1000,1000,1000,1000,1000,-10,1000
9a23e8de-f6d8-4fc5-a5c3-1ddb70e956ba,1000,1000,-5,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-10,0,1000,1000,-5,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-10,0
b450a771-152d-42c9-840b-b6894bbc6d6d,1000,1000,1000,1000,-10,1000,-5,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-10,1000,-5,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,0,1000
5accfa66-000d-4cac-beab-84f7e3bf1152,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,-10,1000,1000,1000,-5,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,-10,1000,1000,1000,-5,1000
aa769a23-602b-4aec-9f21-e159d7ef80b7,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,0,1000,1000
65074a73-5c63-4362-bb6b-b7982b63d8af,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,-5,0,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,-5,0,1000,1000,1000,1000,1000,-10,1000,1000
