,"Hogwarts, Houses, and Horcruxes: The Psychology of Harry Potter, Prof. Jill Cermele","Reproduction in the 21st Century, Prof. Tina McKittrick","Magic Bullets: The Role and Limitations of Science in Medicine, Prof. Adam Cassano","Sacred Wisdom, Prof. Chris Taylor","Why We Buy: The Science of Shopping, Prof. Chris Andrews","Weapons of Math Destruction: Living with Algorithms, Prof. Minjoon Kouh","Shock: The Theatre of The Grand-guignol & Its Legacy, Prof. Andy Elliott","American Inequality, Prof. Jason Jordan","The Evolution of the Hero, Prof. John Muccigrosso","Film and the City, Prof. Muriel Placet-Kouassi","Global Peacebuilding and Interfaith Leadership, Prof. Jonathan Golden","Music and Meaning, Prof. Treavor Weston","HIV/AIDS: Biology in a Global Context, Prof. Brianne Barker","Four Out of Five Drew Students Recommend this Seminar: Evaluating Survey Research, Prof. Sarah Abramowitz","#Democracy & Digital Citizenship, Prof. Elias Ortega-Aponte","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan","From Aphrodite to Lady Pink: Women and Art, Prof. Peggy Kuntz","You Are What You Eat: U.S. Food Cultures, Prof. Angie Kirby-Calder","Latinos/as in Hollywood, Prof. Raul Rosales","Forty Studies That Changed Psychology, Prof. Patrick Dolan","The American Politician, Prof. Phil Mundo","Searching for Hamlet: On the Page, Stage, and Screen, Prof. Dan LaPenta","Strangers at the Shore: Politics of Immigration, Prof. Sangay Mishra"
133,1000,1000,1000,1000,1000,1000,1000,-30,0,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,-5
134,-100,1000,1000,1000,-30,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,0
135,1000,-5,0,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000
136,1000,1000,-5,1000,1000,1000,1000,-10,1000,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000,1000
137,1000,1000,1000,1000,-10,-100,1000,1000,1000,1000,-30,1000,1000,1000,0,-5,1000,1000,1000,1000,1000,1000,1000
138,1000,1000,1000,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,-30,1000,-5,1000,1000,1000,1000,0,1000,1000
139,1000,1000,-10,1000,0,1000,1000,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,1000,-30,1000,1000,1000
140,-100,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,-10,1000,1000,1000,1000,-5,1000
141,-100,1000,1000,-10,0,1000,1000,1000,1000,-5,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
142,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-100,1000,-10,1000,1000,-5,1000,1000
143,-100,1000,1000,-10,1000,1000,-30,1000,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000
144,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,-100,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000
145,1000,1000,-100,1000,1000,1000,1000,0,1000,1000,-5,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10
146,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,-5,0,1000,1000,-30,1000,-100,1000,1000,1000,1000
147,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-30,-5,1000,1000,1000,1000,0
148,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,-10,1000,-5,1000,1000,0
149,1000,1000,1000,-30,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,-100,1000
150,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,-5,1000,-30,1000,-10,1000
151,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,1000,-10,1000,1000
152,-5,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000
153,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,-30,1000,-100,1000,1000,1000
154,1000,1000,-10,1000,1000,-30,1000,0,1000,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000
155,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,-5,1000,-10,1000,1000,1000,1000,1000
156,-30,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,0,1000,-100,1000,1000,1000,1000,1000,-5,1000
157,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,0,1000,-30,1000,1000,-5
158,-10,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-100,1000,1000,1000,-30,1000,1000,1000
159,-100,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,-5,1000,-30,1000,1000,1000
160,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,-10,1000,1000,1000,-100,1000,1000,1000
161,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,-10,-5,1000,1000,-30,1000,0,1000,1000,1000
162,1000,1000,1000,1000,1000,1000,1000,1000,-30,0,1000,1000,1000,1000,1000,-5,-100,1000,1000,1000,1000,-10,1000
163,-30,1000,1000,1000,-5,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,1000,-10,1000,1000,1000,1000,1000
164,0,1000,1000,-30,1000,1000,1000,1000,1000,-100,1000,-10,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000
165,-100,-5,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,-10,1000
166,-10,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,0,1000,1000,-5,1000,1000,1000,1000
167,1000,1000,-30,1000,0,-10,1000,1000,1000,1000,1000,1000,1000,-5,1000,-100,1000,1000,1000,1000,1000,1000,1000
168,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-100,1000,1000,1000,0,1000,-10,1000,1000
169,-100,1000,1000,0,1000,1000,1000,1000,1000,-10,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000
170,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,0,-100,-30,1000,1000,-10,1000
171,1000,1000,1000,-5,1000,1000,1000,-10,1000,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,-100
172,-10,1000,1000,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,0,1000
173,1000,-10,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,0,1000,1000,1000
174,-5,1000,1000,1000,-30,-10,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,0,1000,1000,1000,1000,1000,1000
175,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,-5,1000,1000,-10
176,-5,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,1000,0,1000,-10,1000,1000,1000
177,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,-30,1000,0
178,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,-5,-10,1000,-30,1000,0,1000,1000,1000
179,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,0,-100,1000,1000,-30,-5,1000,1000,1000
180,1000,1000,-5,1000,-100,1000,1000,-10,1000,1000,1000,1000,-30,1000,1000,1000,0,1000,1000,1000,1000,1000,1000
181,1000,1000,-10,1000,1000,-30,1000,1000,-100,1000,1000,1000,1000,-5,1000,1000,1000,1000,0,1000,1000,1000,1000
182,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,0,1000,-5,1000,1000,1000
183,-30,1000,1000,1000,0,1000,-5,1000,1000,1000,1000,-100,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000
184,1000,1000,1000,-100,1000,1000,1000,-5,1000,1000,-10,1000,1000,-30,1000,0,1000,1000,1000,1000,1000,1000,1000
185,-5,1000,-100,1000,-10,1000,1000,1000,1000,0,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000
186,1000,1000,1000,0,1000,-5,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000
187,-10,1000,0,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000
188,1000,1000,1000,1000,1000,1000,1000,-100,-10,1000,1000,0,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30
189,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-5,1000,1000,0,-100,1000,1000,-10,1000,1000,1000,1000,1000
190,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-10,-30,1000,1000,1000,1000,-100,1000
191,1000,-5,1000,-100,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-30,-10,1000,1000,1000,1000,1000,1000
192,1000,0,-30,1000,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000
193,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,1000,-100,-30
194,1000,0,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,-5,1000,1000,1000,1000,1000,-100,1000,1000,1000
195,1000,1000,1000,1000,1000,1000,1000,-10,1000,0,-100,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-30
196,-30,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,1000,-100,1000,1000
197,1000,1000,1000,1000,-30,-10,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,-5
198,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-100,1000,1000,-30,1000,-5,-10,1000,1000,1000,1000,1000
199,1000,1000,1000,1000,-30,1000,1000,1000,1000,-10,1000,1000,-100,1000,1000,1000,1000,-5,1000,1000,1000,0,1000
200,1000,1000,1000,1000,1000,1000,1000,1000,-100,-10,1000,-30,1000,1000,1000,1000,-5,1000,1000,0,1000,1000,1000
201,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,-30,1000,1000,0,-5,1000,1000,1000,1000,1000
202,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-30,1000,-10,1000,-100,-5,1000,1000,1000,1000,1000
203,1000,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-100,1000,-10,1000,1000,1000
204,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-30,-5,-100
205,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-5,-30,-100,1000
206,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-100,1000,1000,1000,-10,0,1000,1000,-5,1000,1000,1000
207,1000,1000,1000,1000,1000,1000,-30,1000,1000,-100,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-5
208,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,-5,1000,1000,0,1000,1000,1000,-30,1000,-10
209,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,0,1000,-100,1000,1000,-5
210,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,-5,-100,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000
211,-5,1000,1000,1000,-30,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000
212,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,0,-5
213,1000,1000,1000,1000,1000,1000,-10,1000,1000,-100,1000,0,1000,1000,1000,1000,-5,1000,-30,1000,1000,1000,1000
214,-100,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,1000,-30,1000,1000,1000,1000,1000
215,1000,1000,1000,1000,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,-10,1000,1000,-100,1000,1000,0,1000
216,-100,1000,1000,1000,1000,0,1000,1000,1000,-5,1000,-30,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000
217,0,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,-30,1000
218,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,-100,1000,1000,1000
219,1000,1000,1000,1000,0,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,-10,-5,-30,1000,1000,1000,1000,1000
220,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,-5,-100,1000,1000,1000
221,-30,1000,1000,0,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-100,1000,1000,-10,1000,1000,1000,1000
222,1000,-5,1000,1000,0,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,-30,1000,-10,1000,1000,1000,1000,1000
223,1000,1000,1000,1000,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,0,1000,-100,1000,1000,1000
224,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,0
225,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,0,-10,1000,-30
226,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,-5,-30,1000,-100,1000,1000,1000,1000
227,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,-5,1000,-30,1000,-10,1000,1000,-100,1000
228,1000,1000,1000,-100,-10,1000,1000,-30,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000
229,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,-5,1000,1000,1000,1000,0
230,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,-5,1000,0,1000,-100,1000,1000,1000
231,-5,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-10,1000,-30,1000,1000,1000
232,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,-10,1000,1000,1000,-100,-30,1000,1000
233,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,1000,1000,1000,-30,1000,1000,1000,1000,1000,-100,1000,0
234,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,0,1000,-5,-10,1000,1000,1000,1000,1000,1000
235,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000
236,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,-10,1000,1000,0,1000,-5,1000,1000,1000,1000,1000
237,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,-30,-10,1000,1000,1000,0,-5,1000,1000
238,1000,1000,-100,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,1000,0,1000,1000,1000,-30,1000,1000,1000
239,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-100,0,1000,1000,1000,-10,1000,1000,-5,1000,1000
240,1000,1000,1000,1000,-10,1000,1000,-30,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,-5,0,1000,1000
241,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,-100,1000,1000,1000
242,0,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,1000,1000
243,1000,0,1000,1000,1000,1000,1000,1000,1000,-100,1000,-30,-10,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000
244,1000,1000,1000,-10,0,1000,1000,1000,-30,-100,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000
245,1000,1000,1000,1000,-10,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000
246,-100,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,1000,-10,1000
247,-100,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,0,1000,1000,1000,1000,1000,1000,1000
248,-10,0,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,1000
249,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,-10,1000,1000,1000,-5,1000,1000,1000,1000,-30
250,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,1000,-30,1000,-10,1000,1000,1000,1000,1000,0,1000,1000,1000
251,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,0,-5,1000,1000,1000,1000,-30,1000,1000
252,-30,1000,-10,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000
253,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,-100,1000,0,1000,-30,1000,1000,1000
254,0,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-100,-30,-10,1000,1000,1000,1000,1000,1000
255,0,1000,1000,1000,-10,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,-5,1000,-30,1000,1000,1000,1000,1000
256,1000,1000,1000,-100,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000
257,1000,1000,0,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,-100,1000,1000
258,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,-5,1000,1000,-100,1000,-10
259,1000,-5,-30,1000,1000,1000,1000,1000,1000,1000,0,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000
260,1000,1000,1000,-10,1000,1000,1000,1000,-30,1000,0,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,-5
261,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,-5,-30,0
262,1000,1000,1000,1000,-100,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-10,1000
263,1000,1000,1000,1000,-100,1000,1000,1000,0,1000,1000,1000,1000,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000
264,-5,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,-10,1000,1000,1000,1000,1000,1000,0
265,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-5,1000,1000,1000,1000,-10,1000,1000,1000,1000,-100,1000
266,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,-10,1000,-100,-30,1000,1000,1000,1000,1000,1000
267,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,0,1000,1000,1000,-30,-5,1000,1000,1000,1000,1000
268,1000,-30,-100,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000
269,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,-30,1000,1000,1000,1000,1000,1000
270,-100,1000,-10,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000
271,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,0,1000,1000,1000,1000,-100,1000,1000,1000,-5,1000,1000,1000
272,-10,1000,-30,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,-100,1000,1000,1000
273,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-30,-100,1000,1000,0,1000
274,-5,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,0,-10,1000,1000,1000,1000,1000
275,-100,1000,-5,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000
276,1000,-30,1000,1000,1000,-100,1000,1000,1000,1000,1000,-10,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,1000
277,1000,1000,1000,0,-100,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-30,-10,1000,1000
278,1000,1000,1000,1000,1000,1000,-30,1000,1000,-10,1000,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,-100,1000
279,-10,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-30,1000,1000,1000,1000,1000,-100,1000
